case-name,cpu,duration,frame,git-branch,git-commit,git-datetime,git-timestamp,machine,nodename,test-name,test-size,uuid
07_unsteady_init_piezo,1,3.653646234,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,1054,55ad03b46bd2408bb85595dc3fb68f74
08_gravity,1,2.145888129,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,4016,9192be2cf255496cb5cde931b12fe496
01_source,1,2.102272568,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,4016,6485a068627043db816ec998270f1181
05_unsteady_LMH_exact,1,28.282635621,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,942,11b64f92f8b74e38a2700df71ee16a85
02_unsteady,1,3.219827613,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,942,144853c50a76468b9480ab263d8e3ad9
06_unsteady_MH_exact,1,5.903457351,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,942,8c2a72450bb14c438366f495a2bf1ad6
03_unsteady_LMH,1,14.704075434,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,942,dbe5443d0efe489db673a8514a342593
04_source_LMH,1,2.632857819,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,10_darcy,4016,adecf9638a044974bd5969f3c853cc32
06_river_square,1,1.281566282,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,1054,fe505cdff0b3434298123cba09719846
09_seepage_stagnation,1,1.621450456,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,1054,bc7bfee0828048cbb0947c95a4a8e84b
01_dirichlet,1,0.955041078,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,942,b03af02e7b184a5295231c3c573499ee
07_river_slope,1,1.138607937,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,1350,ccabbef83fff4a98b1ca85a0d8db3c7b
10_dirichlet_LMH,1,1.026799505,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,942,6a155f0ea2ca4db4a12cf9c00a0fdce7
02_neumann,1,0.953530123,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,942,f6656250c22945aab4c6a7479a4d1f45
04_total_flux,1,0.821435544,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,942,5f273c0c591649b485a3364a851e096e
03_robin,1,0.862294383,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,942,237c05eda0854448931141b57486e3f9
05_seepage,1,2.240813635,Whole Program,master,6c6561d7d5c7dbd23ffb78c4e3969ee8b89d7783,2018-06-15 16:53:50,1529074430,charon.nti.tul.cz,charon,11_darcy_bc,1054,564b1412d5d3420ca1def027294723af
